source_raw,source_master
google.search,google
youtube,google
google.{source_type},google
googlesearch,google
google.context,google
yandex,yandex.context
yandex.{source_type},yandex.context
eLama-yandex,yandex.context
yandex.{STYPE},yandex.context
Instagram_Feed,facebook
Facebook_Right_Column,facebook
Instagram_Stories,facebook
Facebook_Mobile_Feed,facebook
instagram,facebook
fb,facebook
Instagram_Explore,facebook
Facebook_Desktop_Feed,facebook
facebook,facebook
Facebook_Stories,facebook
Instagram_Shop_Tab,facebook
ig,facebook
{{placement}},undefined
Others,undefined
{{site_source_name}},undefined
blog,undefined
